feature,importance
exact_balance_match,0.29191145
zero_balance_before,0.12554479
transfer_or_cashout,0.10075197
odd_amount,0.085945226
high_risk_type,0.074683875
complete_drain,0.06185412
low_risk_type,0.055646185
almost_exact_match,0.051210288
zero_balance_after,0.047299992
type_encoded,0.028356448
has_balance_error,0.009652143
dataset_source_encoded,0.0094324425
balance_change,0.0073650824
balance_error,0.0037570759
type_risk_score,0.0037360583
newbalanceOrig,0.0023863327
balance_change_pct,0.0021950465
cashout_medium,0.0018021899
balance_iqr_outlier,0.0015095092
oldbalanceOrg,0.001306131
balance_zscore,0.0012712788
balance_mismatch,0.0012635252
balance_error_ratio,0.0012336513
transfer_large,0.0011908878
amount_zscore_outlier,0.0011354148
round_amount,0.0010706858
cashout_large,0.0010645692
balance_zscore_outlier,0.0010628315
amount_balance_product_log,0.0010488799
amount_outlier_99,0.00102904
suspicious_zero_transaction,0.0010097949
amount_quintile,0.0009999956
low_drain_ratio,0.0009922906
small_amount,0.0009743641
amount_balance_product,0.0009668063
amount,0.000959646
amount_zscore,0.00095733936
new_to_old_balance_ratio,0.0009463336
medium_drain_ratio,0.0009450827
amount_log,0.00094143214
amount_to_balance_ratio,0.0009393239
percentile_diff,0.00093855924
amount_decile,0.0009232759
near_complete_drain,0.0009070166
round_medium_amount,0.0008722004
amount_iqr_outlier,0.0008694786
balance_percentile,0.0008686882
amount_sqrt,0.00085687614
high_drain_ratio,0.0008399466
partial_drain,0.00083749957
transfer_medium,0.0008259482
round_large_amount,0.00079663505
extreme_change,0.0007660271
risky_transaction,0.0007287204
amount_outlier_95,0.000619571
large_balance_error,0.0
payment_large,0.0
amount_outlier_90,0.0
amount_percentile,0.0
extreme_outlier,0.0
